github_username,base_hours,issue_implementation_hours,pr_review_hours_or_estimated_pr_time,total_hours,issues_worked_on,prs_authored,prs_reviewed,reviews_completed,comments_made,approvals_given,changes_requested,time_to_first_review_avg,time_to_approval_avg,time_to_merge_avg,needs_manual_review
abdullahmoh21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
ariqmuldi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Ayyhab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
ebabar5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
evanbones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
frostbitcactus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
glowyblack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
KitheK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
superbolt08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Whiteknight07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
yta3216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
