issue_number,issue_title,assignees,status,source_line,note,issue_url
69,Making Issues,,Excluded placeholder hours,- **Hours to complete (Week m): n hours**,"Placeholder value, not numeric work time",https://github.com/EduAI-Lab/EduAI/issues/69
69,Making Issues,,Excluded placeholder hours,- **Hours to complete (Week m): n hours [person name]**,"Placeholder value, not numeric work time",https://github.com/EduAI-Lab/EduAI/issues/69
76,"L: Week 1,2,3 - Set up dev server for AI model routing and testing",superbolt08,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/76
94,"M: Week 2,3 - Design a unified database schema","abdullahmoh21, yta3216, GlowyBlack",No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/94
94,"M: Week 2,3 - Design a unified database schema","abdullahmoh21, yta3216, GlowyBlack",Unresolved generic hours,Hours to complete: 8,No explicit username and not exactly one assignee,https://github.com/EduAI-Lab/EduAI/issues/94
130,S: Week 4 - Implement winning ADHD-Assist prompt in EduAI chatbot with phase 2,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/130
138,"L: Week 2,3 - Investigate why AI responds slow",superbolt08,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/138
145,M: Week 3 - Troubleshoot AI tutor login,,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/145
147,M: Week 3 - Make a plan to centralize OAuth Between all platforms,evanbones,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/147
149,"L: Week 3, 4 - Chat reliability, tool error envelopes, RAG/env tuning, materials admin access, observability",Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/149
150,M: Week 4 -(phase2) Paired baseline vs ADHD-Assist evals,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/150
159,S: Week 3 - Update initial TESTS.md with all known tests,GlowyBlack,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/159
160,S: Week 3 - Fix Tests After Monorepo Merge,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/160
166,M: Week 3 - Delete : Auto-invoke web search and course material tools without explicit user prompting,Ayyhab,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/166
183,S: Week 4 - Run routing telemetry migration and seed tier data,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/183
184,S: Week 4 - Add pino structured logging to chat API,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/184
185,M: Week 4 - Implement onFinish AIInteraction telemetry writer,,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/185
186,S: Week 4 - Build Phase 1 rule-based routing helper,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/186
187,S: Week 4 - Wire Auto router into chat.ts before provider registry,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/187
188,S: Week 4 - Add Auto model option as default in chat UI,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/188
189,S: Week 4 - Show routed model in response header and chat UI,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/189
190,S: Week 4 - Add thumbs feedback widget and chat-feedback API,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/190
191,S: Week 4 - Run routing MVP smoke test checklist,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/191
192,S: Week 4 - Document routing env vars in README and .env.example,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/192
195,M: Week 4 - Tool-calling broken on small local models — supportsTools=false workaround disables web/RAG tools,Ayyhab,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/195
196,M: Week 4 - Chat latency: high TTFB + slow token generation make the AI feel unusably slow,Ayyhab,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/196
202,S: Week 3 - Develop a standardized claude.md (or equivalent),,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/202
203,Parent Issue: Week 3-4 - Chat latency & smart grounding sprint,"Whiteknight07, yta3216, GlowyBlack, superbolt08, Ayyhab, ebabar5",No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/203
