week,github_username,hours,issue_number,issue_title,source_line,note,issue_url
"May 18-24, 2026",abdullahmoh21,2.0,121,"S: Week 2,3 - Migrate Ai-tutor to use npm instead of bun",Hours to complete(week 3): 2,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/121
"May 18-24, 2026",abdullahmoh21,2.0,122,"S: Week 2,3 - Translate Question Maker tests into vitest",Hours to complete(week 3): 2,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/122
"May 18-24, 2026",abdullahmoh21,1.0,154,"S: Week 2,3 - Define Deployment Topology (Domain/URL Strategy)",Hours to complete: 1,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/154
"May 18-24, 2026",abdullahmoh21,3.0,181,S: Week 3 - Create a RBAC permission matrix doc,Hours to complete: 3,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/181
"May 18-24, 2026",abdullahmoh21,2.0,231,S: Week 3 - Implement unified schema,Hours to complete: 2,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/231
"May 18-24, 2026",abdullahmoh21,2.0,239,S: Week 3 - Create API contracts for all new endpoints,Time to complete: 2,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/239
"May 18-24, 2026",abdullahmoh21,3.0,324,S: Week 3 - Created issues for api-wiring and rbac.,Time to Complete: 3,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/324
"May 18-24, 2026",ariqmuldi,1.0,288,S: Week 3 - Add CONVENTIONS.md and make-pr AI slash command,**Hours to complete (Week 3): 1 hour**,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/288
"May 18-24, 2026",ariqmuldi,1.0,317,S: Week 3 - Update CONVENTIONS.md and make-pr skill with assignee and week label requirements,Hours to complete (Week 3): 1 hour,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/317
"May 18-24, 2026",Ayyhab,2.0,131,"S: Week 2,3 - Coordinate wireframe/UI design with teammates",Hours to complete (Week 3): 2 [Ahab],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/131
"May 18-24, 2026",Ayyhab,2.0,151,S: Week 3 - ADHD Assist user-facing toggle in chat,Hours:2,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/151
"May 18-24, 2026",Ayyhab,3.0,325,S: week 3 chore(ahab): log hours for #203 - ADHD Assist toggle plumbing (Phase 1),**Total: 3h**,Manual parser accepted total-hours table; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/325
"May 18-24, 2026",ebabar5,1.0,131,"S: Week 2,3 - Coordinate wireframe/UI design with teammates",Hours to complete (Week 3):1  [Ehsan],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/131
"May 18-24, 2026",ebabar5,4.5,206,"M: Week 3,4 - L02 Baseline latency matrix (cloud + dev-server local model)",Ehsan hours: 4-5,manual range averaged from 4-5; No explicit week; assigned to earliest title week 3,https://github.com/EduAI-Lab/EduAI/issues/206
"May 18-24, 2026",evanbones,3.0,84,"S: Week 2,3 - GitHub Workflows and Automated Testing",Hours: 3,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/84
"May 18-24, 2026",evanbones,2.0,123,"S: Week 2, 3 - Consolidate + fix all tests into monorepo root",Week 3 Hours [Evan]: 2,Manual parser accepted weekhours hours syntax,https://github.com/EduAI-Lab/EduAI/issues/123
"May 18-24, 2026",evanbones,1.0,141,S: Week 3 - Docs:Remove in How to Run Tests in TESTS.md,Week 3 Hours: 1 [Evan],Manual parser accepted weekhours hours syntax,https://github.com/EduAI-Lab/EduAI/issues/141
"May 18-24, 2026",GlowyBlack,1.0,85,S: Week 3 - Unit Testing for the Whole of Core,Hours to Complete (Week 3):  1 [Al-Ameen],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/85
"May 18-24, 2026",GlowyBlack,2.0,102,"L: Week 2,3 - Initial (Pre RBAC) Develop Figma Wireframes for Future Unified Design",Hours to complete (Week 3) [Al-Ameen]: 2 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/102
"May 18-24, 2026",GlowyBlack,2.0,131,"S: Week 2,3 - Coordinate wireframe/UI design with teammates",Hours to complete (Week 3): 2 [AbdulHaqq],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/131
"May 18-24, 2026",GlowyBlack,2.5,200,S: Week 3 - Making sure that AI-Tutor test folder structure matches TESTS.md,Hours to complete: 2.5,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/200
