participant_removed,metric,wilcoxon_W,p_value,effect_r,direction
P1,SUS,17.0,0.30859375,0.3219759031363658,favors Assistive
P1,TLX_Load,9.0,0.25,-0.3637724146951587,favors Assistive
P1,TLX_Perf,5.0,1.0,0.0,tied / not computable
P1,UX,6.0,0.203125,0.40246264811634824,favors Assistive
P1,Comp,13.0,0.546875,0.1905112447122513,favors Assistive
P6,SUS,12.0,0.123046875,0.4876579876462798,favors Assistive
P6,TLX_Load,7.0,0.1484375,-0.45697207364805825,favors Assistive
P6,TLX_Perf,3.0,0.625,0.1545646725685195,favors Assistive
P6,UX,3.5,0.09375,0.5299786745115248,favors Assistive
P6,Comp,10.0,0.3046875,0.3245866345219215,favors Assistive
P10,SUS,15.0,0.22265625,0.3856382816116439,favors Assistive
P10,TLX_Load,10.0,0.1640625,-0.44004279115762596,favors Assistive
P10,TLX_Perf,5.5,0.8125,0.07500989312752428,favors Assistive
P10,UX,7.0,0.1484375,0.45697207364805825,favors Assistive
P10,Comp,13.0,0.546875,0.1905112447122513,favors Assistive
P5,SUS,17.0,0.30859375,0.3219759031363658,favors Assistive
P5,TLX_Load,9.0,0.25,-0.3637724146951587,favors Assistive
P5,TLX_Perf,5.0,1.0,0.0,tied / not computable
P5,UX,7.0,0.296875,0.3298756072111991,favors Assistive
P5,Comp,14.0,0.671875,0.13394651884510542,favors Assistive
P4,SUS,9.0,0.060546875,0.5934931241556972,favors Assistive
P4,TLX_Load,3.0,0.0390625,-0.6525448173979665,favors Assistive
P4,TLX_Perf,1.5,0.375,0.280540374488064,favors Assistive
P4,UX,3.5,0.09375,0.5299786745115248,favors Assistive
P4,Comp,7.0,0.1796875,0.42428843550974343,favors Assistive
P3,SUS,18.0,0.361328125,0.2886644957115953,favors Assistive
P3,TLX_Load,10.0,0.3125,-0.31938693492076337,favors Assistive
P3,TLX_Perf,5.5,0.8125,0.07500989312752428,favors Assistive
P3,UX,7.0,0.296875,0.3298756072111991,favors Assistive
P3,Comp,15.0,0.796875,0.08139497974609637,favors Assistive
P7,SUS,18.0,0.361328125,0.2886644957115953,favors Assistive
P7,TLX_Load,9.0,0.25,-0.3637724146951587,favors Assistive
P7,TLX_Perf,4.0,1.0,0.0,tied / not computable
P7,UX,7.0,0.296875,0.3298756072111991,favors Assistive
P7,Comp,13.0,0.546875,0.1905112447122513,favors Assistive
P2,SUS,15.0,0.232421875,0.3776213028156845,favors Assistive
P2,TLX_Load,9.0,0.25,-0.3637724146951587,favors Assistive
P2,TLX_Perf,5.5,0.8125,0.07500989312752428,favors Assistive
P2,UX,4.0,0.125,0.485131512541141,favors Assistive
P2,Comp,10.0,0.3046875,0.3245866345219215,favors Assistive
P11,SUS,12.0,0.123046875,0.4876579876462798,favors Assistive
P11,TLX_Load,7.0,0.1484375,-0.45697207364805825,favors Assistive
P11,TLX_Perf,5.5,0.8125,0.07500989312752428,favors Assistive
P11,UX,7.0,0.1484375,0.45697207364805825,favors Assistive
P11,Comp,15.0,0.42578125,0.2518537678446066,favors Assistive
P8,SUS,15.0,0.232421875,0.3776213028156845,favors Assistive
P8,TLX_Load,10.0,0.1640625,-0.44004279115762596,favors Assistive
P8,TLX_Perf,5.5,0.8125,0.07500989312752428,favors Assistive
P8,UX,7.0,0.1484375,0.45697207364805825,favors Assistive
P8,Comp,13.0,0.546875,0.1905112447122513,favors Assistive
P9,SUS,17.0,0.30859375,0.3219759031363658,favors Assistive
P9,TLX_Load,10.0,0.3125,-0.31938693492076337,favors Assistive
P9,TLX_Perf,5.5,0.8125,0.07500989312752428,favors Assistive
P9,UX,7.0,0.296875,0.3298756072111991,favors Assistive
P9,Comp,15.0,0.42578125,0.2518537678446066,favors Assistive
